"Representative","Office Running For","Total Spent"
"Vernon Buchanan (R-Fla) ","Florida District 16","$851628"
"Ileana Ros-Lehtinen (R-Fla) ","Florida District 27","$850120"
"Brad Sherman (D-Calif) ","California District 30","$842754"
"Luke Messer (R-Ind) ","Indiana District 06","$841608"
"Duncan D. Hunter (R-Calif) ","California District 50","$841310"
"Jackie Speier (D-Calif) ","California District 14","$841039"
"John Conyers Jr (D-Mich) ","Michigan District 13","$833999"
"John A. Yarmuth (D-Ky) ","Kentucky District 03","$833527"
"Tom Rice (R-SC) ","South Carolina District 07","$830874"
"Karen Bass (D-Calif) ","California District 37","$822021"
"Larry Bucshon (R-Ind) ","Indiana District 08","$820413"
"Alcee L. Hastings (D-Fla) ","Florida District 20","$811995"
"Pete King (R-NY) ","New York District 02","$811982"
"Jim Langevin (D-RI) ","Rhode Island District 02","$811117"
"Bill Flores (R-Texas) ","Texas District 17","$809523"
"Don Young (R-Alaska) ","Alaska District 01","$809039"
"John Fleming (R-La) ","Louisiana District 04","$803078"
"Juan Vargas (D-Calif) ","California District 51","$801519"
"Austin Scott (R-Ga) ","Georgia District 08","$800955"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$800888"
"Louise M. Slaughter (D-NY) ","New York District 25","$796859"
"Candice S. Miller (R-Mich) ","Michigan District 10","$795742"
"Dana Rohrabacher (R-Calif) ","California District 48","$795323"
"Adam Smith (D-Wash) ","Washington District 09","$795120"
"Martha Roby (R-Ala) ","Alabama District 02","$793565"
"Ted Yoho (R-Fla) ","Florida District 03","$791907"
"Elijah E. Cummings (D-Md) ","Maryland District 07","$787933"
"Tim Ryan (D-Ohio) ","Ohio District 13","$787870"
"Andre Carson (D-Ind) ","Indiana District 07","$782921"
"Mike Quigley (D-Ill) ","Illinois District 05","$779868"
"Robert E. Latta (R-Ohio) ","Ohio District 05","$777771"
"Jason Chaffetz (R-Utah) ","Utah District 03","$775881"
"Gregg Harper (R-Miss) ","Mississippi District 03","$770336"
"John Sarbanes (D-Md) ","Maryland District 03","$756851"
"Robert A. Brady (D-Pa) ","Pennsylvania District 01","$750831"
"Sam Farr (D-Calif) ","California District 20","$747789"
"John Lewis (D-Ga) ","Georgia District 05","$745566"
"Alma Adams (D-NC) ","North Carolina District 12","$743807"
"Betty McCollum (D-Minn) ","Minnesota District 04","$740086"
"Judy Chu (D-Calif) ","California District 27","$737543"
"Tom Graves (R-Ga) ","Georgia District 14","$736722"
"Doug LaMalfa (R-Calif) ","California District 01","$730253"
"John L. Mica (R-Fla) ","Florida District 07","$727556"
"Janice Hahn (D-Calif) ","California District 44","$723718"
"Nydia M. Velazquez (D-NY) ","New York District 07","$715659"
"Jared Huffman (D-Calif) ","California District 02","$712985"
"Vicky Hartzler (R-Mo) ","Missouri District 04","$707937"
"G. K. Butterfield (D-NC) ","North Carolina District 01","$703902"
"Peter Welch (D-Vt) ","Vermont District 01","$700783"
"Gus Bilirakis (R-Fla) ","Florida District 12","$700434"
"Alan Nunnelee (R-Miss) ","Mississippi District 01","$698833"
"Mark Amodei (R-Nev) ","Nevada District 02","$698201"
"Virginia Foxx (R-NC) ","North Carolina District 05","$693139"
"John Culberson (R-Texas) ","Texas District 07","$691304"
"Louis B. Gohmert Jr (R-Texas) ","Texas District 01","$690899"
"David Price (D-NC) ","North Carolina District 04","$688801"
"Gene Green (D-Texas) ","Texas District 29","$687926"
"Zoe Lofgren (D-Calif) ","California District 19","$682507"
"Walter B. Jones Jr (R-NC) ","North Carolina District 03","$677381"
"Tom Rooney (R-Fla) ","Florida District 17","$669304"
"Rick Crawford (R-Ark) ","Arkansas District 01","$665075"
"Chris Stewart (R-Utah) ","Utah District 02","$665016"
"Doug Collins (R-Ga) ","Georgia District 09","$664455"
"Brian M. Higgins (D-NY) ","New York District 26","$663042"
"Michael E. Capuano (D-Mass) ","Massachusetts District 07","$653147"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$652304"
"Hakeem Jeffries (D-NY) ","New York District 08","$650169"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$643369"
"Hank Johnson (D-Ga) ","Georgia District 04","$640573"
"Steve Chabot (R-Ohio) ","Ohio District 01","$636369"
"Lloyd Doggett (D-Texas) ","Texas District 35","$630990"
"Steve Fincher (R-Tenn) ","Tennessee District 08","$629223"
"Daniel Lipinski (D-Ill) ","Illinois District 03","$618212"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$612031"
"Corrine Brown (D-Fla) ","Florida District 05","$607418"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$605137"
"Kerry Bentivolio (R-Mich) ","Michigan District 11","$603309"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$600091"
"Filemon Vela (D-Texas) ","Texas District 34","$595235"
"Trey Gowdy (R-SC) ","South Carolina District 04","$588778"
"Diane Black (R-Tenn) ","Tennessee District 06","$587243"
"Jeff Duncan (R-SC) ","South Carolina District 03","$582705"
"Albio Sires (D-NJ) ","New Jersey District 08","$581950"
"Jim McDermott (D-Wash) ","Washington District 07","$581723"
"Pedro Pierluisi (D-PR) ","Puerto Rico District 00","$578773"
"Steve Womack (R-Ark) ","Arkansas District 03","$574944"
"Matt Salmon (R-Ariz) ","Arizona District 05","$574359"
"Donna Edwards (D-Md) ","Maryland District 04","$564094"
"Raul M. Grijalva (D-Ariz) ","Arizona District 03","$560866"
"Donald M. Payne Jr (D-NJ) ","New Jersey District 10","$552332"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$546099"
"Randy Weber (R-Texas) ","Texas District 14","$545588"
"Jeff Miller (R-Fla) ","Florida District 01","$543974"
"Susan A. Davis (D-Calif) ","California District 53","$541155"
"Yvette D. Clarke (D-NY) ","New York District 09","$534976"
"David Schweikert (R-Ariz) ","Arizona District 06","$533363"
"Rob Bishop (R-Utah) ","Utah District 01","$525675"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$524914"
"Grace Meng (D-NY) ","New York District 06","$518820"
"Ted Poe (R-Texas) ","Texas District 02","$507176"
"Alan Lowenthal (D-Calif) ","California District 47","$506597"
"Rob Woodall (R-Ga) ","Georgia District 07","$500041"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$499405"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$498231"
"Marcia L. Fudge (D-Ohio) ","Ohio District 11","$497385"
"Al Green (D-Texas) ","Texas District 09","$483696"
"Thomas Massie (R-Ky) ","Kentucky District 04","$478876"
"Douglas L. Lamborn (R-Colo) ","Colorado District 05","$474481"
"Bobby Scott (D-Va) ","Virginia District 03","$473415"
"Kathy Castor (D-Fla) ","Florida District 14","$472948"
"Danny K. Davis (D-Ill) ","Illinois District 07","$469170"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$467786"
"Ruben Hinojosa (D-Texas) ","Texas District 15","$466828"
