"Representative","Office Running For","Total Raised"
"Jerry F. Costello (D-Ill) ","Illinois District 12","$453858"
"Bobby Scott (D-Va) ","Virginia District 03","$451466"
"Mike Ross (D-Ark) ","Arkansas District 04","$450145"
"Hank Johnson (D-Ga) ","Georgia District 04","$448223"
"Charlie A. Gonzalez (D-Texas) ","Texas District 20","$417269"
"Gary Ackerman (D-NY) ","New York District 06Current office: New York District 05","$413790"
"Dan Burton (R-Ind) ","Indiana District 05","$405423"
"Sue Myrick (R-NC) ","North Carolina District 09","$388121"
"Rob Woodall (R-Ga) ","Georgia District 07","$382946"
"Trent Franks (R-Ariz) ","Arizona District 08Current office: Arizona District 02","$376998"
"Danny K. Davis (D-Ill) ","Illinois District 07","$372212"
"John W. Olver (D-Mass) ","Massachusetts District 01","$354062"
"Rob Bishop (R-Utah) ","Utah District 01","$353367"
"Al Green (D-Texas) ","Texas District 09","$351713"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$344048"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$332288"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$330274"
"Wally Herger (R-Calif) ","California District 01Current office: California District 02","$305169"
"Dan Boren (D-Okla) ","Oklahoma District 02","$257368"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$254070"
"Elton Gallegly (R-Calif) ","California District 26Current office: California District 24","$231641"
"Brad Miller (D-NC) ","North Carolina District 04Current office: North Carolina District 13","$218966"
"Jose E. Serrano (D-NY) ","New York District 15Current office: New York District 16","$212068"
"Jerry Lewis (R-Calif) ","California District 31Current office: California District 41","$206119"
"Maurice Hinchey (D-NY) ","New York District 22","$179119"
"Bob Filner (D-Calif) ","California District 51","$139218"
"David Dreier (R-Calif) ","California District 32Current office: California District 26","$121778"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$110570"
"Dale E. Kildee (D-Mich) ","Michigan District 05","$103244"
"Lynn Woolsey (D-Calif) ","California District 02Current office: California District 06","$66275"
"Todd Platts (R-Pa) ","Pennsylvania District 04Current office: Pennsylvania District 19","$49260"
"David A. Curson (D-Mich) ","Michigan District 11","$49092"
"Ron Paul (R-Texas) ","Texas District 14","$17144"
"Dennis Kucinich (D-Ohio) ","Ohio District 09Current office: Ohio District 10","$0"
