"Representative","Office Running For","Total Raised"
"Richard W Allen (R-Ga) ","Georgia District 12","$1122559"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$1121537"
"Sanford Bishop (D-Ga) ","Georgia District 02","$1119338"
"Lou Correa (D-Calif) ","California District 46","$1118517"
"Lloyd Doggett (D-Texas) ","Texas District 35","$1115717"
"Dwight Evans (D-Pa) ","Pennsylvania District 03Current office: Pennsylvania District 02","$1115460"
"Mike Simpson (R-Idaho) ","Idaho District 02","$1107701"
"John Garamendi (D-Calif) ","California District 03","$1107347"
"Pete Visclosky (D-Ind) ","Indiana District 01","$1102461"
"David Scott (D-Ga) ","Georgia District 13","$1099687"
"Mark Pocan (D-Wis) ","Wisconsin District 02","$1099658"
"Joyce Beatty (D-Ohio) ","Ohio District 03","$1087553"
"Yvette D Clarke (D-NY) ","New York District 09","$1081925"
"Frank D Lucas (R-Okla) ","Oklahoma District 03","$1078443"
"Brian M Higgins (D-NY) ","New York District 26","$1077931"
"Filemon Vela (D-Texas) ","Texas District 34","$1072689"
"Elijah E Cummings (D-Md) ","Maryland District 07","$1068025"
"Mark Takano (D-Calif) ","California District 41","$1067703"
"Doris O Matsui (D-Calif) ","California District 06","$1066880"
"Bob Gibbs (R-Ohio) ","Ohio District 07","$1055843"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$1036174"
"Doug LaMalfa (R-Calif) ","California District 01","$1028857"
"Gregory W Meeks (D-NY) ","New York District 05","$1027879"
"Ruben Gallego (D-Ariz) ","Arizona District 07","$1026853"
"Rick Crawford (R-Ark) ","Arkansas District 01","$1018464"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1013590"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$1009013"
"Robin Kelly (D-Ill) ","Illinois District 02","$1006603"
"Nydia M Velazquez (D-NY) ","New York District 07","$1001145"
"Andre Carson (D-Ind) ","Indiana District 07","$991930"
"Jim Banks (R-Ind) ","Indiana District 03","$982043"
"Lois J Frankel (D-Fla) ","Florida District 21","$977131"
"Chris Stewart (R-Utah) ","Utah District 02","$971130"
"Larry Bucshon (R-Ind) ","Indiana District 08","$967433"
"Paul Cook (R-Calif) ","California District 08","$960252"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$955464"
"Jackie Speier (D-Calif) ","California District 14","$950657"
"Steven Russell (R-Okla) ","Oklahoma District 05","$949887"
"Suzanne Bonamici (D-Ore) ","Oregon District 01","$939393"
"Joaquin Castro (D-Texas) ","Texas District 20","$937006"
