"Representative","Office Running For","Cash on Hand"
"Chris Smith (R-NJ) ","New Jersey District 04","$74809"
"Jo Ann Emerson (R-Mo) ","Missouri District 08","$72252"
"Robert E Latta (R-Ohio) ","Ohio District 05","$72134"
"Patrick McHenry (R-NC) ","North Carolina District 10","$71500"
"Nick Lampson (D-Texas) ","Texas District 22","$71173"
"Jim Gerlach (R-Pa) ","Pennsylvania District 06","$71061"
"Lynn Woolsey (D-Calif) ","California District 06","$70633"
"Robin Hayes (R-NC) ","North Carolina District 08","$69699"
"Bob Filner (D-Calif) ","California District 51","$69338"
"Rosa L DeLauro (D-Conn) ","Connecticut District 03","$69042"
"Tom Latham (R-Iowa) ","Iowa District 04","$68474"
"Deborah Pryce (R-Ohio) ","Ohio District 15","$63281"
"Joe Baca (D-Calif) ","California District 43","$62775"
"Marilyn Musgrave (R-Colo) ","Colorado District 04","$62132"
"Keith Ellison (D-Minn) ","Minnesota District 05","$61922"
"Patrick J Murphy (D-Pa) ","Pennsylvania District 08","$61911"
"Mark Udall (D-Colo) ","Colorado SenateCurrent office: Colorado District 02","$61857"
"Lincoln Diaz-Balart (R-Fla) ","Florida District 21","$60395"
"Lee Terry (R-Neb) ","Nebraska District 02","$59233"
"Vito Fossella (R-NY) ","New York District 13","$58082"
"Don Young (R-Alaska) ","Alaska District 01","$57037"
"Frank R Wolf (R-Va) ","Virginia District 10","$56113"
"Gregory W Meeks (D-NY) ","New York District 06","$55989"
"Robert C Scott (D-Va) ","Virginia District 03","$54482"
"Duncan Hunter (R) ","2008 Presidential RaceCurrent office: California District 52","$53664"
"Dennis J Kucinich (D) ","2008 Presidential RaceCurrent office: Ohio District 10","$52335"
"John Sullivan (R-Okla) ","Oklahoma District 01","$51925"
"John Carter (R-Texas) ","Texas District 31","$51879"
"Andre Carson (D-Ind) ","Indiana District 07","$51472"
"Ken Calvert (R-Calif) ","California District 44","$51455"
"Maxine Waters (D-Calif) ","California District 35","$50881"
"Todd Platts (R-Pa) ","Pennsylvania District 19","$50578"
"Judy Biggert (R-Ill) ","Illinois District 13","$49770"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$49019"
"Brian P Bilbray (R-Calif) ","California District 50","$47384"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$46481"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$46469"
"Rob Wittman (R-Va) ","Virginia District 01","$46001"
"Sam Graves (R-Mo) ","Missouri District 06","$42845"
"Michael McCaul (R-Texas) ","Texas District 10","$42845"
"Michael Burgess (R-Texas) ","Texas District 26","$42406"
"Mike D Rogers (R-Ala) ","Alabama District 03","$42017"
"Peter Roskam (R-Ill) ","Illinois District 06","$41559"
